Date,User,ABSA_Tweets
2022-12-30 10:43:11+00:00,Shawn80654585,@OldMutualSA You have been saying that now for the past 10days ... @AbsaSouthAfrica and my own bank is just as silent because they don't protect my hard-earned money @Discovery_SA thank you Discovery for taking over my insurance can see it is in Great Hands maybe should move my bank account?
2022-12-30 10:42:56+00:00,AbsaSouthAfrica,@MmaneRai Hi there. Thank you for sharing your concerns with us; we're sorry to see that your experience was less than expected. At which branch were you?
2022-12-30 10:36:30+00:00,Zilungile,@AbsaSouthAfrica Thanks so much sorted now
2022-12-30 10:33:20+00:00,c2kzen,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica I did play both on my Absa and Capitec apps yet I didn't win. Is it only people you know that won?
2022-12-30 10:31:57+00:00,MentoorV,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica How do you enter? Buy just buying your tickets on a bank app? Is there anything else that I need to do? Thanks.
2022-12-30 10:30:41+00:00,AbsaSouthAfrica,"@Zilungile After completing these steps, please try to access your Banking App again and let us know if this resolved the issue."
2022-12-30 10:30:36+00:00,AbsaSouthAfrica,"@Zilungile 4. Under ""Notifications, it should say ""Allowed"". If it doesn't, tap on Notifications. 5. Allow notifications by clicking on the toggle for ""Show notifications""."
2022-12-30 10:30:19+00:00,AbsaSouthAfrica,@Zilungile Please also check if the app is enabled for push notifications: 1. Go to your device settings. 2. Tap on Apps. 3. Tap on Absa Banking.
2022-12-30 10:30:00+00:00,AbsaSouthAfrica,@Zilungile Hi there. We apologise for the unpleasant experience with our Banking App. Have you checked whether you are using the most recent versions of the Banking App and the operating system on your device?
2022-12-30 10:28:31+00:00,Thizozo82,@TauYaPhaahla01 @AbsaSouthAfrica 😂😂😂😂😂 I'm still trying my luck. I'm doing it voluntary.
2022-12-30 10:25:54+00:00,TauYaPhaahla01,@Thizozo82 @AbsaSouthAfrica Plug us bafwethu
2022-12-30 10:23:46+00:00,lezzarlomso,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica Andiniqondi I play every day baphi abo bantu
2022-12-30 10:21:20+00:00,Thizozo82,It’s not too late to play #PowerBall and #PowerBall PLUS for R87 MILLION in total GUARANTEED jackpots today. Download the @AbsaSouthAfrica Banking App or dial *120*2272# to play #PowerBall for a GUARANTEED R55 MILLION and #PowerBall PLUS GUARANTEED at R32 MILLION. Play Now.
2022-12-30 10:12:39+00:00,MadimetjaJay,"@AbsaSouthAfrica , @TelkomZA ,@OldMutualSA 

La bona le tseya nako."
2022-12-30 10:11:21+00:00,Thizozo82,"Congratulations to 18 Banking App #DlalaMoreWinaMore winners who won R25,000 each this week after playing on the @FNBSA, @CapitecBankSA, @StandardBankZA, and @AbsaSouthAfrica banking apps"
2022-12-30 10:09:39+00:00,TheMan13797027,"@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica The Ithuba National Lottery platforms have the lowest probability to win a jackpot.
The banking apps have additional fees (between R2 and R3) per transaction.

The Banks makes huge profits on lottery features."
2022-12-30 10:08:06+00:00,TheMan13797027,"@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica The lowest probability to win this from all the other banks &amp; Ithuba app/web that won this previously; 
Ithuba app/web 
Tyme bank. 

The bank that never won this;
African Bank"
2022-12-30 10:05:00+00:00,tauyamoe,@sa_lottery @FNBSA @CapitecBankSA @StandardBankZA @AbsaSouthAfrica How are winners notified?
2022-12-30 10:04:48+00:00,Zilungile,"bethuna is there an issue with your app haven't been able to access it today I keep getting error that ""something went wrong"" @AbsaSouthAfrica"
2022-12-30 10:04:40+00:00,Xhanga_Biggz,@AbsaSouthAfrica your private banking service is just pathetic
2022-12-30 10:00:22+00:00,sa_lottery,"Congratulations to 18 Banking App #DlalaMoreWinaMore winners who won R25,000 each this week after playing on the @FNBSA, @CapitecBankSA, @StandardBankZA, and @AbsaSouthAfrica banking apps. https://t.co/Zr9qbBspaT"
2022-12-30 09:56:51+00:00,Magokgoale_1,"@AbsaSouthAfrica I'm unable to pay my @MTNza @MTNzaService contract Sim card via @AbsaSouthAfrica App.
Help 😩"
