Date,User,Standard_Tweets
2022-12-31 19:25:26+00:00,e_sibo,@malukubabe @StandardBankZA Skoni sam 👸... Happy new year 🎉
2022-12-31 19:17:40+00:00,StandardBankZA,@cgselva Please accept our sincere apologies for the inconvenience caused. Please may you DM us your details for us to investigate and assist.
2022-12-31 18:54:17+00:00,cgselva,@StandardBankZA I have been trying to merge access bond account with my account and your consultants are going on circle but it’s been days with no resolution and timeline to resolve as well ? Can someone assist to fix this
2022-12-31 18:06:33+00:00,NdhlovuEdna,@malukubabe @StandardBankZA Strongly done ✅ my queen 💃🏾🍷
2022-12-31 17:54:50+00:00,MandlaS91430103,@malukubabe @StandardBankZA Ngiyabonga Jabulile🙏💕
2022-12-31 17:32:39+00:00,malukubabe,@MandlaS91430103 @StandardBankZA Ngiyabonga Mandla 💕 ungene kahle onyakeni omusha 🥂
2022-12-31 17:30:07+00:00,MandlaS91430103,@malukubabe @StandardBankZA Well done Ma'Gumbi
2022-12-31 17:19:47+00:00,SunelDlamini,@Madam_PB @nontuthuzelo___ @StandardBankZA
2022-12-31 17:02:15+00:00,MohauSam,"I appreciate @StandardBankZA for bringing mental health awareness through running and education.

We also shared principles towards #FinanceFitZA for financial wellness.

Yes #ItCanBe

https://t.co/sEcvLfdQ6s"
2022-12-31 16:58:48+00:00,temogo_ZA,"@Madam_PB @Investec
@StandardBankZA"
2022-12-31 16:44:09+00:00,YangaTheFoe,"Glad @StandardBankZA has different file formats for bank statements, I've dealt with regex+pdf before and it's not nice 😌"
2022-12-31 16:25:21+00:00,malukubabe,@wandilek @StandardBankZA Thank you Wandile 💕 ungene kahle onyakeni omusha 🥂
2022-12-31 16:25:00+00:00,malukubabe,@ravhathu @StandardBankZA Thank you 💓
2022-12-31 16:17:51+00:00,SMIbelieve,@StandardBankZA R10
2022-12-31 16:16:18+00:00,StandardBankZA,@_MoonTribe You are welcome.
2022-12-31 16:12:03+00:00,_MoonTribe,@StandardBankZA Ohh great. Dankie
2022-12-31 16:09:14+00:00,StandardBankZA,"@_MoonTribe Hello Sma, if the amount has not been withdrawn then it will be reversed to your account."
2022-12-31 16:07:28+00:00,Sandy28052807,@StandardBankZA Go me go me go me....Yip I love the perks. It helps my family a lot #BecauseUCount #HowAboutNowSummer
2022-12-31 16:07:23+00:00,wandilek,@malukubabe @StandardBankZA Well done Top Runner 🏃‍♀️. Happy 2023🎄🎉🎊✨🎍🎍
2022-12-31 16:05:45+00:00,Me11Cozy,"@StandardBankZA Sure, I love being a UCount rewards member. Thanx to @StandardBankZA #BecauseUCount #HowAboutNowSummer"
2022-12-31 16:04:42+00:00,Sam08312007,@StandardBankZA When i spend I also gain #BecauseUCount #HowAboutNowSummer
2022-12-31 16:03:01+00:00,_craig_ambers,@Madam_PB @StandardBankZA
2022-12-31 16:02:44+00:00,Amazing82984132,"@StandardBankZA Clothing, I have not bought me clothing in years LOL and also I would really love to fill up my tank #BecauseUCount #HowAboutNowSummer"
2022-12-31 16:02:44+00:00,Amazing82984132,"@StandardBankZA Clothing, I have not bought me clothing in years LOL and also I would really love to fill up my tank #BecauseUCount #HowAboutNowSummer"
2022-12-31 16:01:46+00:00,HappySa13339387,"@StandardBankZA Fuel 
#BecauseUCount #HowAboutNowSummer"
2022-12-31 16:01:23+00:00,_MoonTribe,"@StandardBankZA Hi, if I delete an instantmoney voucher, would the money be reversed to my acc?"
2022-12-31 16:01:07+00:00,ravhathu,@malukubabe @StandardBankZA MaG 💜💜💜👊🏽
2022-12-31 16:00:02+00:00,Lolly1821,@StandardBankZA The best part is when I spend I actually get rewarded...so spending for me is not a problem...Thanx to UCount Rewards
2022-12-31 15:55:49+00:00,seropotsa,"Something happened...
#RunningWithTumiSole 
#TrainingWithTumiSole 
@TotalsportsSA @fitbit @Vivomobile_SA @StandardBankZA  #HearHerVoice 365 days #FinanceFitSA #IPaintedMyRun https://t.co/aMmRyelXau"
2022-12-31 15:42:02+00:00,malukubabe,@thehybridrunner @StandardBankZA Thanks Deepak 💕
2022-12-31 15:37:29+00:00,Ownlyf,"@malukubabe @StandardBankZA Thank you, same to you"
2022-12-31 15:17:58+00:00,MissyM264326791,@StandardBankZA That was very easy to figure out
2022-12-31 15:10:34+00:00,thehybridrunner,@malukubabe @StandardBankZA Well done Maluku 🎈
2022-12-31 15:04:36+00:00,malukubabe,@Ofentse06642146 @StandardBankZA Thank you👊
2022-12-31 14:50:14+00:00,Ofentse06642146,"@malukubabe @StandardBankZA You too Maluku, a pleasant and peaceful crossover to the new year 2023🍾🥂🍾🍸🍾🥂🍸🍾"
2022-12-31 14:40:35+00:00,malukubabe,@Mamje4 @StandardBankZA Thanks sthandwa 💕
2022-12-31 14:40:25+00:00,malukubabe,@MphoM_ZA @StandardBankZA Thank you ❤️
2022-12-31 14:40:15+00:00,malukubabe,@Ofentse06642146 @StandardBankZA Thanks you O 💕 ungene kahle onyakeni omusha 🥂
2022-12-31 14:39:56+00:00,malukubabe,@CornyLedwaba @StandardBankZA Thanks sthandwa 💐 ungene kahle onyakeni omusha 🥂
2022-12-31 14:39:38+00:00,malukubabe,"@Ownlyf @StandardBankZA Thank you💕 ungene kahle onyakeni omusha,🥂🍾"
2022-12-31 14:38:23+00:00,malukubabe,@Try_running @StandardBankZA Thanks Don 💞 ungene kahle onyakeni omusha
2022-12-31 14:37:50+00:00,malukubabe,@Xitiko01 @StandardBankZA Thanks champ 💕
2022-12-31 14:20:33+00:00,King_ZA1st,@StandardBankZA I pay for fuel at Caltex #BecauseUCount #HowAboutNowSummer
2022-12-31 14:19:29+00:00,MphoMashau31,"@StandardBankZA Once in 3 months 😊,"
2022-12-31 13:59:29+00:00,Mamje4,@malukubabe @StandardBankZA Salute💞
2022-12-31 13:54:45+00:00,_ayosithole,@StandardBankZA #itCanBe
2022-12-31 13:47:38+00:00,StandardBankZA,"@avhaathunemagu2 You got that right, Nemaguvhuni! 👏🏽 #BecauseUCount #HowAboutNow"
2022-12-31 13:46:01+00:00,StandardBankZA,"@Happiness22_021 That’s correct, Happiness. Are you a frequent UCount user. 😎 #BecauseUCount #HowAboutNow"
2022-12-31 13:40:08+00:00,StandardBankZA,"@VumaniRadebe That’s correct, Bulelwa! Did you enjoy your UCount rewards? 👏🏽 #BecauseUCount #HowAboutNow"
2022-12-31 13:38:04+00:00,StandardBankZA,"@da_hlubi Great answer, DaViv. Have you been collecting your rewards? 😎 #BecauseUCount #HowAboutNow"
2022-12-31 13:32:56+00:00,StandardBankZA,"@Jimmy384212881 That’s correct, Jimmy. Have you been enjoying your rewards? 😎 #BecauseUCount #HowAboutNow"
2022-12-31 13:29:23+00:00,StandardBankZA,"@LucruciaSikwane You know that’s right, Lulu! 👏🏽 #BecauseUCount #HowAboutNow"
